pathway	definition	list
map00010	Glycolysis / Gluconeogenesis	K00016|K00121|K00134|K00138|K00163|K00382|K00627|K00845|K00850|K00873|K00927|K01085|K01222|K01223|K01610|K01624|K01689|K01785|K01792|K01803|K01810|K01834|K01835|K01895|K02446|K02777|K02779|K02791|K03737|K03841|K04022|K04072|K11645|K13953|K13954|K15633|K15634|K16370|K20866
map00020	Citrate cycle (TCA cycle)	K00024|K00031|K00116|K00163|K00164|K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00382|K00627|K00658|K01610|K01647|K01676|K01679|K01681|K01682|K01902|K01903|K03737
map00030	Pentose phosphate pathway	K00033|K00036|K00090|K00117|K00615|K00616|K00850|K00851|K00852|K00874|K00948|K01619|K01624|K01625|K01690|K01783|K01807|K01808|K01810|K01835|K01839|K02446|K03841|K07404|K11645|K16370
map00040	Pentose and glucuronate interconversions	K00012|K00040|K00041|K00853|K00880|K00963|K01685|K01686|K01783|K01804|K01812|K03077|K03078|K03079|K08092|K08322|K08323
map00051	Fructose and mannose metabolism	K00009|K00068|K00847|K00850|K00879|K00881|K00882|K00971|K01624|K01628|K01711|K01803|K01808|K01809|K01818|K01840|K02377|K02446|K02770|K02794|K02795|K02796|K02798|K02800|K02812|K02813|K02814|K02815|K03841|K07026|K11645|K12660|K12661|K16370|K17195|K19956
map00052	Galactose metabolism	K00845|K00849|K00850|K00963|K00965|K01187|K01190|K01784|K01785|K01835|K02079|K02080|K02744|K02745|K02746|K02747|K08302|K10984|K10985|K10986|K12111|K12112|K16370|K16371
map00053	Ascorbate and aldarate metabolism	K00012|K00880|K01630|K01708|K02821|K02822|K03077|K03078|K03079|K03475|K03476|K08092
map00061	Fatty acid biosynthesis	K00059|K00208|K00645|K00647|K00648|K01716|K01897|K01961|K01962|K01963|K02160|K02372|K09458
map00071	Fatty acid degradation	K00121|K00626|K00632|K01782|K01825|K01897|K04072|K05939|K06445|K13953|K13954
map00072	Synthesis and degradation of ketone bodies	K00626
map00121	Secondary bile acid biosynthesis	K00076
